 iteration      beta_a      beta_b
     13100    2.547725    1.258642
     13125    2.570909    1.267551
     13150    2.608692    1.214492
     13175    2.579409    1.260229
     13200    2.466896    1.221912
     13225    2.621416    1.257469
     13250    2.653554    1.260258
     13275    2.639911    1.227834
     13300    2.617021    1.245501
     13325    2.699304    1.311919
     13350    2.620598    1.296760
     13375    2.548867    1.202228
     13400    2.590149    1.260319
     13425    2.632737    1.254367
     13450    2.602688    1.220342
     13475    2.681271    1.314538
     13500    2.494407    1.218504
     13525    2.657497    1.295118
     13550    2.554462    1.256891
     13575    2.603827    1.268737
     13600    2.437332    1.216696
     13625    2.521113    1.255426
     13650    2.549625    1.275430
     13675    2.755984    1.292935
     13700    2.685026    1.306377
     13725    2.684707    1.294256
     13750    2.678613    1.301467
     13775    2.673261    1.309423
     13800    2.618036    1.290355
     13825    2.608634    1.262700
     13850    2.615589    1.291622
     13875    2.563892    1.274305
     13900    2.470122    1.215130
     13925    2.629949    1.244759
     13950    2.628584    1.268533
     13975    2.618599    1.258776
     14000    2.656621    1.278150
     14025    2.520198    1.254878
     14050    2.620523    1.233918
     14075    2.595401    1.244673
     14100    2.439102    1.219623
     14125    2.543953    1.246385
     14150    2.557051    1.258682
     14175    2.592719    1.250774
     14200    2.520856    1.217156
     14225    2.556231    1.203250
     14250    2.651825    1.335036
     14275    2.393898    1.149016
     14300    2.581678    1.282016
     14325    2.541448    1.219826
     14350    2.594202    1.267571
     14375    2.555405    1.212017
     14400    2.568112    1.244907
     14425    2.582813    1.236366
     14450    2.671752    1.269953
     14475    2.580540    1.196128
     14500    2.733019    1.264858
     14525    2.419311    1.202057
     14550    2.592358    1.235506
     14575    2.594798    1.276979
     14600    2.536214    1.235580
     14625    2.618444    1.276937
     14650    2.554825    1.224832
     14675    2.637154    1.218404
     14700    2.656617    1.242415
     14725    2.529365    1.251289
     14750    2.725714    1.287779
     14775    2.473634    1.223629
     14800    2.825553    1.318265
     14825    2.534119    1.262242
     14850    2.623032    1.238058
     14875    2.515563    1.237002
     14900    2.489272    1.210796
     14925    2.523626    1.261904
     14950    2.540758    1.223810
     14975    2.548678    1.230414
     15000    2.647814    1.253679
     15025    2.548687    1.225012
     15050    2.538463    1.205603
     15075    2.638918    1.298050
     15100    2.701730    1.299320
     15125    2.496466    1.255691
     15150    2.663335    1.228791
     15175    2.697433    1.336065
     15200    2.529660    1.214924
     15225    2.548784    1.218795
     15250    2.592602    1.232252
     15275    2.496666    1.223699
     15300    2.654093    1.269892
     15325    2.465787    1.207163
     15350    2.522100    1.277445
     15375    2.580847    1.233922
     15400    2.707810    1.265631
     15425    2.477801    1.243215
     15450    2.562647    1.284501
     15475    2.627744    1.321500
     15500    2.626232    1.255635
     15525    2.772777    1.238290
     15550    2.448765    1.201844
     15575    2.593160    1.254531
     15600    2.665871    1.325230
     15625    2.678841    1.345234
     15650    2.645061    1.258860
     15675    2.498387    1.259591
     15700    2.599066    1.272181
     15725    2.521718    1.208651
     15750    2.571870    1.237363
     15775    2.562497    1.245420
     15800    2.493965    1.199570
     15825    2.526502    1.253239
     15850    2.653341    1.269820
     15875    2.596774    1.280642
     15900    2.536373    1.245041
     15925    2.729772    1.293959
     15950    2.589662    1.250564
     15975    2.687844    1.275682
     16000    2.554509    1.284056
     16025    2.562734    1.213657
     16050    2.771563    1.353953
     16075    2.670884    1.270786
     16100    2.678338    1.223202
     16125    2.570620    1.289802
     16150    2.402989    1.199544
     16175    2.742240    1.310376
     16200    2.479061    1.247677
     16225    2.701243    1.283510
     16250    2.537698    1.215596
     16275    2.540108    1.228996
     16300    2.698422    1.273426
     16325    2.452719    1.197201
     16350    2.736782    1.285329
     16375    2.472646    1.227725
     16400    2.603434    1.233701
     16425    2.508664    1.238986
     16450    2.445710    1.237293
     16475    2.586428    1.235672
     16500    2.568409    1.251145
     16525    2.554871    1.268588
     16550    2.620239    1.227936
     16575    2.702626    1.279249
     16600    2.631203    1.254913
     16625    2.495322    1.192425
     16650    2.496082    1.211881
     16675    2.689616    1.286896
     16700    2.668039    1.207439
     16725    2.617885    1.262738
     16750    2.643724    1.247455
     16775    2.392129    1.136299
     16800    2.711073    1.264735
     16825    2.617131    1.258540
     16850    2.620666    1.237479
     16875    2.746588    1.253591
     16900    2.564123    1.237473
     16925    2.570337    1.308136
     16950    2.669345    1.300494
     16975    2.589727    1.254044
     17000    2.527203    1.219127
     17025    2.501320    1.227070
     17050    2.533096    1.250620
     17075    2.548136    1.224340
     17100    2.556574    1.228568
     17125    2.484306    1.188315
     17150    2.436782    1.164372
     17175    2.805775    1.304973
     17200    2.501432    1.239408
     17225    2.632870    1.253808
     17250    2.687737    1.250960
     17275    2.563251    1.226706
     17300    2.758186    1.293784
     17325    2.604167    1.269125
     17350    2.676951    1.337558
     17375    2.476103    1.199616
     17400    2.572753    1.193771
     17425    2.547713    1.271577
     17450    2.505333    1.233758
     17475    2.490690    1.247847
     17500    2.503311    1.196785
     17525    2.581236    1.211804
     17550    2.551889    1.265902
     17575    2.807021    1.317057
     17600    2.564370    1.258813
     17625    2.580948    1.261349
     17650    2.649853    1.266215
     17675    2.674164    1.245900
     17700    2.629271    1.271783
     17725    2.684560    1.224639
     17750    2.485424    1.205415
     17775    2.724345    1.302479
     17800    2.670194    1.304164
     17825    2.554554    1.218011
     17850    2.618957    1.233589
     17875    2.459139    1.198744
     17900    2.546631    1.235046
     17925    2.670821    1.264288
     17950    2.573479    1.242112
     17975    2.600903    1.249788
     18000    2.711835    1.299708
     18025    2.638553    1.278137
     18050    2.563124    1.198029
     18075    2.556653    1.279215
     18100    2.669742    1.268457
     18125    2.614557    1.237198
     18150    2.546182    1.212079
     18175    2.589829    1.255624
     18200    2.521158    1.234053
     18225    2.602780    1.269087
     18250    2.594086    1.217062
     18275    2.477886    1.216605
     18300    2.629710    1.255170
     18325    2.499078    1.234626
     18350    2.485204    1.215912
     18375    2.709736    1.251025
     18400    2.640458    1.260018
     18425    2.700309    1.273117
     18450    2.470052    1.200765
     18475    2.527944    1.244651
     18500    2.316118    1.152771
     18525    2.667899    1.285144
     18550    2.526255    1.237833
     18575    2.495829    1.200189
