 iteration        log_Lik      acpt_p      acpt_M     acpt_pi     acpt_mu     acpt_nu  acpt_delta  acpt_sigma
      8025   -1.63927e+04    0.314510    0.420000    0.324960    0.400000    0.440000    0.340820    0.334345
      8050   -1.67229e+04    0.316895    0.340000    0.328400    0.200000    0.320000    0.337800    0.332085
      8075   -1.67477e+04    0.315205    0.270000    0.333340    0.280000    0.520000    0.342000    0.331930
      8100   -1.72680e+04    0.314565    0.390000    0.326380    0.400000    0.320000    0.335860    0.331900
      8125   -1.66790e+04    0.316495    0.310000    0.331380    0.280000    0.240000    0.335740    0.330650
      8150   -1.66996e+04    0.317835    0.350000    0.331420    0.120000    0.400000    0.337700    0.332490
      8175   -1.68617e+04    0.315285    0.330000    0.332140    0.240000    0.320000    0.340480    0.334050
      8200   -1.68181e+04    0.316205    0.330000    0.334420    0.240000    0.320000    0.339920    0.331080
      8225   -1.65801e+04    0.315870    0.280000    0.330080    0.280000    0.440000    0.342220    0.332970
      8250   -1.71576e+04    0.316905    0.290000    0.326960    0.400000    0.400000    0.336480    0.332700
      8275   -1.70944e+04    0.314200    0.350000    0.329900    0.280000    0.120000    0.334980    0.332035
      8300   -1.68542e+04    0.314570    0.360000    0.328860    0.360000    0.280000    0.345240    0.333835
      8325   -1.66911e+04    0.318525    0.260000    0.333720    0.360000    0.320000    0.338600    0.334165
      8350   -1.60062e+04    0.314805    0.310000    0.334700    0.320000    0.360000    0.339780    0.334225
      8375   -1.63797e+04    0.313220    0.360000    0.334200    0.240000    0.360000    0.337780    0.332435
      8400   -1.65987e+04    0.316225    0.250000    0.331040    0.280000    0.200000    0.335040    0.331095
      8425   -1.67228e+04    0.315220    0.330000    0.328960    0.320000    0.240000    0.339980    0.334455
      8450   -1.73826e+04    0.315075    0.280000    0.331020    0.360000    0.360000    0.339280    0.332200
      8475   -1.62921e+04    0.314855    0.390000    0.330220    0.480000    0.160000    0.341140    0.333880
      8500   -1.67434e+04    0.315495    0.290000    0.334680    0.280000    0.280000    0.337400    0.332420
      8525   -1.70620e+04    0.317060    0.410000    0.325480    0.200000    0.320000    0.343540    0.331435
      8550   -1.67673e+04    0.314285    0.410000    0.329800    0.280000    0.240000    0.339940    0.334805
      8575   -1.66325e+04    0.316245    0.310000    0.334100    0.320000    0.440000    0.340940    0.334125
      8600   -1.70979e+04    0.314095    0.280000    0.328260    0.160000    0.160000    0.336660    0.333070
      8625   -1.69146e+04    0.316365    0.340000    0.332360    0.200000    0.280000    0.337180    0.331055
      8650   -1.68241e+04    0.316990    0.220000    0.334800    0.440000    0.320000    0.338340    0.333080
      8675   -1.69381e+04    0.317055    0.330000    0.329080    0.240000    0.200000    0.342020    0.332955
      8700   -1.67251e+04    0.314230    0.320000    0.331520    0.400000    0.360000    0.340920    0.334440
      8725   -1.64636e+04    0.316535    0.250000    0.327240    0.280000    0.440000    0.337700    0.331805
      8750   -1.69093e+04    0.312220    0.410000    0.330440    0.320000    0.400000    0.343520    0.330840
      8775   -1.71723e+04    0.316310    0.360000    0.327700    0.200000    0.320000    0.339920    0.332470
      8800   -1.66816e+04    0.316180    0.280000    0.331340    0.280000    0.440000    0.342960    0.333595
      8825   -1.70219e+04    0.314040    0.410000    0.334160    0.200000    0.280000    0.338560    0.332530
      8850   -1.65368e+04    0.316470    0.340000    0.333640    0.440000    0.440000    0.342260    0.332345
      8875   -1.63460e+04    0.314815    0.430000    0.329720    0.240000    0.400000    0.340860    0.335625
      8900   -1.63324e+04    0.314495    0.420000    0.334480    0.280000    0.280000    0.337340    0.330715
      8925   -1.64725e+04    0.316905    0.250000    0.334080    0.320000    0.280000    0.342700    0.333260
      8950   -1.63195e+04    0.316845    0.330000    0.333720    0.240000    0.280000    0.339500    0.332495
      8975   -1.57074e+04    0.315450    0.370000    0.331920    0.240000    0.440000    0.335560    0.334485
      9000   -1.58884e+04    0.314480    0.290000    0.332460    0.360000    0.400000    0.336360    0.334535
      9025   -1.53829e+04    0.315925    0.270000    0.329980    0.400000    0.320000    0.337720    0.335510
      9050   -1.50953e+04    0.315835    0.350000    0.333080    0.200000    0.400000    0.338960    0.333425
      9075   -1.57937e+04    0.315900    0.410000    0.333900    0.320000    0.360000    0.336000    0.330580
      9100   -1.54484e+04    0.314955    0.310000    0.334620    0.320000    0.520000    0.336040    0.334410
      9125   -1.54900e+04    0.317410    0.430000    0.332860    0.320000    0.320000    0.336120    0.332315
      9150   -1.49111e+04    0.313870    0.410000    0.326260    0.400000    0.400000    0.338600    0.333925
      9175   -1.46118e+04    0.314295    0.290000    0.328680    0.200000    0.280000    0.339520    0.330750
      9200   -1.52523e+04    0.314580    0.330000    0.327820    0.200000    0.320000    0.338560    0.334385
      9225   -1.54835e+04    0.314430    0.340000    0.333900    0.200000    0.320000    0.338620    0.333945
      9250   -1.55262e+04    0.315015    0.250000    0.332120    0.360000    0.280000    0.337680    0.330865
      9275   -1.50801e+04    0.315590    0.290000    0.330680    0.280000    0.520000    0.338500    0.331620
      9300   -1.52187e+04    0.316330    0.360000    0.329720    0.360000    0.280000    0.339680    0.333140
