 iteration      beta_a      beta_b
     65400    0.691209    3.417270
     65425    0.674215    3.344152
     65450    0.683565    3.416477
     65475    0.680637    3.304275
     65500    0.672177    3.321842
     65525    0.679185    3.366579
     65550    0.685408    3.549633
     65575    0.683617    3.453351
     65600    0.683281    3.525590
     65625    0.678447    3.304432
     65650    0.689512    3.457214
     65675    0.692291    3.507668
     65700    0.679902    3.410184
     65725    0.688775    3.421845
     65750    0.682567    3.354936
     65775    0.671647    3.396126
     65800    0.676293    3.423762
     65825    0.687297    3.462274
     65850    0.683526    3.468822
     65875    0.660566    3.312875
     65900    0.687379    3.497703
     65925    0.698643    3.517827
     65950    0.668026    3.414558
     65975    0.685214    3.452593
     66000    0.672865    3.406047
     66025    0.699390    3.518559
     66050    0.708006    3.574215
     66075    0.681450    3.386482
     66100    0.687210    3.453960
     66125    0.680894    3.395583
     66150    0.673639    3.338688
     66175    0.707172    3.475696
     66200    0.671867    3.423235
     66225    0.648540    3.248952
     66250    0.679040    3.373214
     66275    0.691152    3.499973
     66300    0.660562    3.291484
     66325    0.691931    3.576623
     66350    0.697917    3.537859
     66375    0.701885    3.404339
     66400    0.668598    3.356842
     66425    0.697140    3.441084
     66450    0.678229    3.456334
     66475    0.672283    3.357235
     66500    0.671488    3.458098
     66525    0.672621    3.385214
     66550    0.704253    3.547206
     66575    0.653279    3.310453
     66600    0.681249    3.450465
     66625    0.669599    3.401262
     66650    0.681499    3.397264
     66675    0.678852    3.486894
     66700    0.680149    3.359427
     66725    0.705318    3.492691
     66750    0.712583    3.472553
     66775    0.718181    3.570105
     66800    0.701794    3.499936
     66825    0.698615    3.492757
     66850    0.699155    3.518512
     66875    0.680873    3.405869
     66900    0.685984    3.425546
     66925    0.693355    3.503635
     66950    0.689065    3.516188
     66975    0.681577    3.381997
     67000    0.699578    3.432517
     67025    0.685276    3.474661
     67050    0.677637    3.356145
     67075    0.673889    3.349537
     67100    0.672666    3.427926
     67125    0.707083    3.492896
     67150    0.684767    3.468122
     67175    0.712706    3.575982
     67200    0.689397    3.480471
     67225    0.662251    3.339155
     67250    0.693238    3.376931
     67275    0.664770    3.292904
     67300    0.682610    3.334236
     67325    0.679261    3.432681
     67350    0.680084    3.347147
     67375    0.697167    3.512053
     67400    0.669353    3.325520
     67425    0.688502    3.462822
     67450    0.703518    3.453334
     67475    0.689983    3.434070
     67500    0.685170    3.422971
     67525    0.692358    3.433886
     67550    0.681510    3.405217
     67575    0.682805    3.300819
     67600    0.675550    3.333408
     67625    0.684976    3.380577
     67650    0.696503    3.538339
     67675    0.696325    3.471505
     67700    0.693466    3.329271
     67725    0.667781    3.274939
     67750    0.671978    3.404671
     67775    0.697274    3.443349
     67800    0.696262    3.375814
