 iteration      beta_a      beta_b
     14750    2.229827    0.987633
     14775    2.232133    1.023035
     14800    2.209929    1.007907
     14825    2.192068    1.032797
     14850    2.339718    1.052445
     14875    2.227175    0.997366
     14900    2.385415    1.089559
     14925    2.465913    1.109183
     14950    2.374273    1.051713
     14975    2.159700    1.025679
     15000    2.301781    1.028658
     15025    2.227946    1.028152
     15050    2.195409    1.057613
     15075    2.254219    1.016721
     15100    2.341755    1.010091
     15125    2.448996    1.121416
     15150    2.327114    1.025217
     15175    2.376884    1.094397
     15200    2.344285    1.085677
     15225    2.355717    1.122748
     15250    2.303454    1.052128
     15275    2.281107    1.042025
     15300    2.346915    1.054712
     15325    2.077247    0.969819
     15350    2.185178    0.988490
     15375    2.330684    1.059714
     15400    2.301678    1.053529
     15425    2.321367    1.075247
     15450    2.436636    1.102834
     15475    2.403752    1.097871
     15500    2.296460    1.063551
     15525    2.340017    1.051989
     15550    2.340568    1.076073
     15575    2.304320    1.074322
     15600    2.405052    1.106531
     15625    2.224511    1.013543
     15650    2.380057    1.099533
     15675    2.148858    1.031589
     15700    2.377140    1.062037
     15725    2.446788    1.088645
     15750    2.311653    1.011001
     15775    2.273102    1.055308
     15800    2.311230    1.029674
     15825    2.245915    1.025115
     15850    2.302507    1.045234
     15875    2.417518    1.080796
     15900    2.134285    1.028447
     15925    2.386658    1.073337
     15950    2.368960    1.090258
     15975    2.272386    1.037794
     16000    2.359115    1.080094
     16025    2.365384    1.055070
     16050    2.285773    1.055935
     16075    2.233665    1.025954
     16100    2.284692    1.024843
     16125    2.385611    1.085266
     16150    2.414994    1.107479
     16175    2.492724    1.122920
     16200    2.279249    1.082714
     16225    2.290678    1.073269
     16250    2.165899    1.018693
     16275    2.377703    1.039731
     16300    2.318390    1.032883
     16325    2.278890    1.034620
     16350    2.144899    1.000882
     16375    2.177849    0.993885
     16400    2.340785    1.064589
     16425    2.281600    1.021762
     16450    2.334602    1.058523
     16475    2.187486    1.006622
     16500    2.209329    1.023193
     16525    2.299567    1.025083
     16550    2.297383    1.056688
     16575    2.234413    1.031557
     16600    2.311198    1.063335
     16625    2.251750    1.029703
     16650    2.249391    1.032063
     16675    2.404487    1.103898
     16700    2.500186    1.111818
     16725    2.487875    1.090602
     16750    2.381527    1.077915
     16775    2.439773    1.075117
     16800    2.277371    1.054286
     16825    2.419077    1.038801
     16850    2.184479    1.009416
     16875    2.378344    1.074957
     16900    2.242184    1.016844
     16925    2.088364    0.938300
     16950    2.177532    0.997002
     16975    2.501280    1.115722
     17000    2.268414    0.986932
