 iteration        log_Lik      acpt_p      acpt_M     acpt_pi     acpt_mu     acpt_nu  acpt_delta  acpt_sigma
      7525   -2.23389e+04    0.315807    0.350000    0.326776    0.240000    0.200000    0.337252    0.329689
      7550   -2.28058e+04    0.314709    0.320000    0.330600    0.200000    0.320000    0.340614    0.332183
      7575   -2.30541e+04    0.316812    0.380000    0.325638    0.200000    0.200000    0.340151    0.333811
      7600   -2.28698e+04    0.315073    0.270000    0.324767    0.400000    0.360000    0.337946    0.332076
      7625   -2.27539e+04    0.316132    0.330000    0.326421    0.280000    0.400000    0.339084    0.331752
      7650   -2.24710e+04    0.315318    0.360000    0.323699    0.280000    0.360000    0.338657    0.331756
      7675   -2.36270e+04    0.315567    0.370000    0.332076    0.200000    0.200000    0.338479    0.330987
      7700   -2.22873e+04    0.315056    0.370000    0.330138    0.200000    0.240000    0.341129    0.330471
      7725   -2.25472e+04    0.314620    0.350000    0.327755    0.440000    0.440000    0.339422    0.329747
      7750   -2.35708e+04    0.313971    0.300000    0.328217    0.360000    0.120000    0.340116    0.329729
      7775   -2.35320e+04    0.315972    0.370000    0.327861    0.280000    0.160000    0.342339    0.329266
      7800   -2.41865e+04    0.314375    0.340000    0.328822    0.240000    0.560000    0.341183    0.331410
      7825   -2.40542e+04    0.314869    0.240000    0.327755    0.400000    0.200000    0.340098    0.331721
      7850   -2.37615e+04    0.314780    0.310000    0.324393    0.240000    0.440000    0.338586    0.330983
      7875   -2.36135e+04    0.314566    0.260000    0.328359    0.280000    0.320000    0.338853    0.330191
      7900   -2.30067e+04    0.314175    0.360000    0.325336    0.280000    0.400000    0.334762    0.331334
      7925   -2.24806e+04    0.316901    0.220000    0.327737    0.240000    0.280000    0.338622    0.333010
      7950   -2.26308e+04    0.316692    0.310000    0.327826    0.120000    0.200000    0.342410    0.330280
      7975   -2.25476e+04    0.314829    0.370000    0.327434    0.360000    0.200000    0.339440    0.331814
      8000   -2.24448e+04    0.313873    0.400000    0.330831    0.240000    0.200000    0.337928    0.331534
      8025   -2.20218e+04    0.315651    0.290000    0.325620    0.240000    0.120000    0.341236    0.330169
      8050   -2.21820e+04    0.315007    0.350000    0.325851    0.320000    0.400000    0.340649    0.329493
      8075   -2.25107e+04    0.314740    0.340000    0.331187    0.360000    0.120000    0.341343    0.332068
