 iteration      beta_a      beta_b
     60775    0.493531    2.603258
     60800    0.490329    2.595141
     60825    0.484732    2.558885
     60850    0.485652    2.572497
     60875    0.489049    2.585036
     60900    0.492172    2.596327
     60925    0.492968    2.592353
     60950    0.489535    2.591930
     60975    0.484204    2.559681
     61000    0.489567    2.619485
     61025    0.492957    2.610457
     61050    0.489968    2.619512
     61075    0.486226    2.600215
     61100    0.489918    2.556053
     61125    0.485548    2.594210
     61150    0.486359    2.589433
     61175    0.494134    2.619286
     61200    0.490136    2.588578
     61225    0.482080    2.547135
     61250    0.483492    2.556042
     61275    0.481658    2.565314
     61300    0.493003    2.603596
     61325    0.480894    2.544328
     61350    0.489990    2.554859
     61375    0.485645    2.546329
     61400    0.487670    2.569654
     61425    0.487257    2.543499
     61450    0.488815    2.570743
     61475    0.479427    2.518983
     61500    0.484958    2.558009
     61525    0.491050    2.625908
     61550    0.481207    2.560308
     61575    0.486872    2.543715
     61600    0.487684    2.553546
     61625    0.490566    2.579820
     61650    0.485823    2.548726
     61675    0.486187    2.590409
     61700    0.486853    2.575540
     61725    0.482176    2.518963
     61750    0.491142    2.603597
     61775    0.487191    2.573957
     61800    0.485086    2.614441
     61825    0.486978    2.567453
     61850    0.488829    2.583753
     61875    0.485454    2.570488
     61900    0.485605    2.584934
     61925    0.484248    2.572230
     61950    0.488791    2.575586
     61975    0.489277    2.571716
     62000    0.488370    2.578478
     62025    0.490945    2.600626
     62050    0.489554    2.582631
     62075    0.483059    2.542081
     62100    0.483515    2.589337
     62125    0.483119    2.543647
     62150    0.492818    2.580444
     62175    0.487945    2.590761
     62200    0.489574    2.633093
     62225    0.487081    2.574334
     62250    0.485854    2.580553
     62275    0.485662    2.574258
     62300    0.485194    2.603497
     62325    0.488429    2.567218
     62350    0.489112    2.546672
     62375    0.489576    2.611599
     62400    0.484239    2.609822
     62425    0.486035    2.611609
     62450    0.489447    2.612943
     62475    0.484926    2.558819
     62500    0.488119    2.561115
     62525    0.487199    2.577841
     62550    0.488453    2.590587
     62575    0.487652    2.581574
     62600    0.483535    2.546248
     62625    0.487195    2.581109
     62650    0.484636    2.571846
     62675    0.478125    2.561103
     62700    0.485284    2.610757
     62725    0.482881    2.543698
     62750    0.488247    2.579504
     62775    0.487722    2.604126
     62800    0.483946    2.589163
     62825    0.490765    2.587018
     62850    0.484256    2.535951
     62875    0.489303    2.617918
     62900    0.484656    2.551041
     62925    0.487745    2.586448
     62950    0.483753    2.544468
     62975    0.491902    2.608718
     63000    0.493440    2.587109
     63025    0.491521    2.562482
     63050    0.492999    2.581002
     63075    0.485887    2.542570
     63100    0.485123    2.560097
     63125    0.490143    2.606612
     63150    0.483425    2.590534
     63175    0.486132    2.584659
     63200    0.480585    2.576243
     63225    0.497419    2.642190
     63250    0.488000    2.572349
     63275    0.483499    2.535762
     63300    0.486290    2.565910
     63325    0.493952    2.587903
     63350    0.486258    2.564811
     63375    0.487704    2.545316
     63400    0.487339    2.587608
     63425    0.487213    2.591092
     63450    0.484981    2.563411
     63475    0.489074    2.554077
     63500    0.483242    2.566852
     63525    0.483555    2.558072
     63550    0.482305    2.571390
     63575    0.490022    2.611859
     63600    0.486103    2.610442
     63625    0.490152    2.602557
     63650    0.488875    2.568847
     63675    0.489882    2.558340
     63700    0.488924    2.599415
     63725    0.484329    2.581060
     63750    0.490649    2.615137
     63775    0.490517    2.599164
     63800    0.487094    2.574599
     63825    0.483355    2.536486
     63850    0.494638    2.592505
     63875    0.489791    2.594137
     63900    0.492048    2.587354
     63925    0.494319    2.602621
     63950    0.488931    2.587087
     63975    0.490396    2.582912
     64000    0.487510    2.563588
     64025    0.488650    2.612206
     64050    0.484734    2.565778
     64075    0.486885    2.580909
     64100    0.486502    2.596067
     64125    0.492823    2.609146
     64150    0.488432    2.576828
     64175    0.486057    2.584423
     64200    0.490615    2.618012
     64225    0.491082    2.585416
     64250    0.485326    2.544466
     64275    0.486382    2.572827
     64300    0.489696    2.586963
     64325    0.486810    2.595148
     64350    0.483225    2.536815
     64375    0.488755    2.601595
     64400    0.488102    2.581936
     64425    0.481684    2.535345
     64450    0.487333    2.574138
     64475    0.483434    2.558528
     64500    0.488001    2.589828
     64525    0.493409    2.595136
     64550    0.491850    2.609792
     64575    0.481986    2.563887
     64600    0.491182    2.659653
     64625    0.486198    2.589363
     64650    0.489092    2.564511
     64675    0.485714    2.547554
     64700    0.488037    2.556845
     64725    0.487494    2.590855
     64750    0.486697    2.576365
     64775    0.490059    2.566905
     64800    0.486834    2.613873
     64825    0.483410    2.584189
     64850    0.481129    2.566784
     64875    0.489557    2.620627
     64900    0.486097    2.500545
     64925    0.487868    2.584560
     64950    0.484280    2.582414
     64975    0.487254    2.611283
     65000    0.487931    2.542639
     65025    0.483236    2.584305
     65050    0.483438    2.600595
     65075    0.484127    2.591311
     65100    0.489171    2.619360
     65125    0.488061    2.587099
     65150    0.492109    2.576016
     65175    0.490451    2.603631
     65200    0.484517    2.557883
     65225    0.486133    2.582062
     65250    0.483654    2.579252
     65275    0.484721    2.558696
     65300    0.492021    2.557315
     65325    0.486226    2.544672
     65350    0.483512    2.575507
     65375    0.487442    2.573906
     65400    0.485560    2.583245
     65425    0.490332    2.598255
     65450    0.489327    2.594889
     65475    0.484422    2.574386
     65500    0.490739    2.583016
     65525    0.487362    2.560038
     65550    0.487827    2.588347
     65575    0.487964    2.560757
     65600    0.486720    2.573991
     65625    0.483597    2.560265
     65650    0.486088    2.537532
     65675    0.481038    2.536794
     65700    0.485516    2.599348
     65725    0.491576    2.568327
     65750    0.485956    2.526440
     65775    0.488319    2.546480
     65800    0.486352    2.560114
     65825    0.488195    2.573528
     65850    0.487321    2.608057
     65875    0.486199    2.561919
     65900    0.487076    2.585479
     65925    0.491516    2.596180
     65950    0.488057    2.611737
     65975    0.485528    2.581428
     66000    0.482685    2.534810
     66025    0.483331    2.545283
     66050    0.482540    2.538263
     66075    0.490833    2.604826
     66100    0.479572    2.531458
     66125    0.485066    2.543709
     66150    0.481244    2.561238
     66175    0.494015    2.587006
     66200    0.480632    2.566440
     66225    0.489146    2.608780
     66250    0.486033    2.567513
     66275    0.486978    2.588526
     66300    0.482023    2.540623
     66325    0.489296    2.599669
     66350    0.483827    2.586621
     66375    0.487713    2.580758
     66400    0.486579    2.552195
     66425    0.484610    2.545205
     66450    0.485813    2.576581
     66475    0.486115    2.551321
     66500    0.488939    2.586515
     66525    0.486086    2.571360
     66550    0.491668    2.584848
     66575    0.485439    2.565564
     66600    0.486822    2.586749
     66625    0.485266    2.594054
     66650    0.487181    2.588609
     66675    0.482382    2.533794
     66700    0.482880    2.569162
     66725    0.494310    2.579039
     66750    0.485286    2.582746
     66775    0.487835    2.582598
     66800    0.493689    2.611867
     66825    0.483811    2.580259
     66850    0.487552    2.578813
     66875    0.486291    2.566194
     66900    0.490966    2.566735
     66925    0.485678    2.571868
     66950    0.492111    2.596715
     66975    0.483900    2.564632
     67000    0.487622    2.547767
     67025    0.485259    2.587702
     67050    0.482786    2.546507
     67075    0.484779    2.586347
     67100    0.485575    2.547940
     67125    0.485222    2.575972
     67150    0.489015    2.561206
     67175    0.481873    2.522595
     67200    0.487910    2.552603
     67225    0.484458    2.566647
     67250    0.481199    2.567006
     67275    0.493682    2.613041
     67300    0.490273    2.583341
     67325    0.486764    2.587093
     67350    0.492125    2.567293
     67375    0.494526    2.618923
     67400    0.487842    2.580500
     67425    0.481846    2.570058
     67450    0.489940    2.590239
     67475    0.486042    2.550708
     67500    0.484541    2.568269
     67525    0.485894    2.571658
     67550    0.480800    2.563381
     67575    0.487204    2.571666
     67600    0.487627    2.564553
     67625    0.490191    2.590758
     67650    0.487165    2.571881
     67675    0.483927    2.556032
     67700    0.483766    2.552919
     67725    0.486561    2.596020
     67750    0.491783    2.593583
     67775    0.490965    2.605158
     67800    0.487836    2.597943
     67825    0.487241    2.589681
     67850    0.486338    2.577054
     67875    0.485027    2.571104
     67900    0.485669    2.566141
