 iteration        log_Lik      acpt_p      acpt_M     acpt_pi     acpt_mu     acpt_nu  acpt_delta  acpt_sigma
     52475   -3.61689e+05    0.241134    0.186667    0.183591    0.280000    0.200000    0.321351    0.296267
     52500   -3.61445e+05    0.241311    0.133333    0.183578    0.240000    0.320000    0.322426    0.296179
     52525   -3.63716e+05    0.240058    0.226667    0.183680    0.360000    0.160000    0.321978    0.296284
     52550   -3.62117e+05    0.240698    0.200000    0.183529    0.200000    0.160000    0.321898    0.295669
     52575   -3.60841e+05    0.240765    0.120000    0.183111    0.320000    0.320000    0.322007    0.295932
     52600   -3.63091e+05    0.240338    0.146667    0.183473    0.480000    0.240000    0.320998    0.296040
     52625   -3.62742e+05    0.241212    0.240000    0.183557    0.400000    0.160000    0.322020    0.295479
     52650   -3.61873e+05    0.241461    0.213333    0.183832    0.480000    0.320000    0.322696    0.296073
     52675   -3.61354e+05    0.241903    0.173333    0.184272    0.400000    0.280000    0.321472    0.296156
     52700   -3.61112e+05    0.242283    0.160000    0.185918    0.320000    0.200000    0.320798    0.296087
     52725   -3.59652e+05    0.243203    0.133333    0.185944    0.440000    0.320000    0.321393    0.296410
     52750   -3.59792e+05    0.242633    0.186667    0.185483    0.360000    0.440000    0.322271    0.296266
     52775   -3.60026e+05    0.242379    0.106667    0.185417    0.320000    0.400000    0.321564    0.295970
     52800   -3.61475e+05    0.241079    0.133333    0.184763    0.280000    0.080000    0.321597    0.295542
     52825   -3.61669e+05    0.242072    0.173333    0.183989    0.440000    0.280000    0.322179    0.295942
     52850   -3.62264e+05    0.242236    0.146667    0.184558    0.160000    0.320000    0.322273    0.295579
     52875   -3.61937e+05    0.242930    0.186667    0.184899    0.360000    0.360000    0.321995    0.295586
     52900   -3.62527e+05    0.243300    0.160000    0.185958    0.280000    0.400000    0.321970    0.295407
     52925   -3.62588e+05    0.242488    0.133333    0.186471    0.280000    0.240000    0.320937    0.295679
     52950   -3.63546e+05    0.242286    0.093333    0.185614    0.360000    0.200000    0.322297    0.295497
     52975   -3.64495e+05    0.242249    0.093333    0.185752    0.360000    0.160000    0.321873    0.295112
     53000   -3.64839e+05    0.241834    0.133333    0.184802    0.200000    0.360000    0.322186    0.295046
     53025   -3.64622e+05    0.241262    0.120000    0.185178    0.280000    0.320000    0.322443    0.295185
     53050   -3.66271e+05    0.241404    0.160000    0.184113    0.400000    0.200000    0.321782    0.295026
     53075   -3.66572e+05    0.241482    0.186667    0.185329    0.280000    0.280000    0.321796    0.294684
     53100   -3.64187e+05    0.241967    0.066667    0.184476    0.360000    0.440000    0.321851    0.295196
     53125   -3.63271e+05    0.241455    0.213333    0.185587    0.480000    0.160000    0.322113    0.294784
     53150   -3.66521e+05    0.242460    0.093333    0.186221    0.320000    0.240000    0.321798    0.294668
     53175   -3.65169e+05    0.241250    0.186667    0.184316    0.400000    0.240000    0.321777    0.294672
     53200   -3.64304e+05    0.242026    0.133333    0.184804    0.400000    0.360000    0.322482    0.295079
     53225   -3.62075e+05    0.241538    0.173333    0.184339    0.200000    0.280000    0.321547    0.295383
     53250   -3.63592e+05    0.240854    0.160000    0.184590    0.440000    0.240000    0.321160    0.295590
     53275   -3.64145e+05    0.241610    0.146667    0.184716    0.320000    0.320000    0.321153    0.295590
     53300   -3.65802e+05    0.241120    0.106667    0.185097    0.320000    0.240000    0.321582    0.294670
     53325   -3.65616e+05    0.241666    0.080000    0.184871    0.320000    0.400000    0.321255    0.295140
     53350   -3.67076e+05    0.240617    0.240000    0.182974    0.320000    0.400000    0.321047    0.294850
     53375   -3.66885e+05    0.240616    0.106667    0.183024    0.400000    0.280000    0.321254    0.294739
     53400   -3.66779e+05    0.240124    0.173333    0.181977    0.200000    0.200000    0.321732    0.295069
