 iteration      lambda
     61650   32.523057
     61675   32.724309
     61700   33.357062
     61725   32.883836
     61750   32.641563
     61775   32.734086
     61800   32.335697
     61825   33.425861
     61850   32.827603
     61875   32.783639
     61900   32.417883
     61925   32.370499
     61950   32.012875
     61975   32.172078
     62000   32.649731
     62025   32.838186
     62050   32.654633
     62075   32.105923
     62100   32.438569
     62125   33.066432
     62150   32.770003
     62175   32.691604
     62200   33.046528
     62225   32.349714
     62250   32.735037
     62275   32.757275
     62300   32.471012
     62325   32.621193
     62350   32.721196
     62375   32.677668
     62400   32.534224
     62425   32.166679
     62450   32.593077
     62475   32.150590
     62500   32.027557
     62525   31.938221
     62550   31.917297
     62575   31.956642
     62600   31.966572
     62625   32.062106
     62650   31.905102
     62675   31.848127
     62700   32.294820
     62725   32.618526
     62750   32.325661
     62775   32.178296
     62800   31.402248
     62825   31.731121
     62850   31.212679
     62875   31.615545
     62900   31.287259
     62925   31.485817
     62950   31.395687
     62975   31.691326
     63000   31.454140
     63025   31.685669
     63050   31.862807
     63075   31.472454
     63100   31.653532
     63125   31.076917
     63150   31.556980
     63175   31.556092
     63200   31.314041
     63225   31.261549
     63250   30.661554
     63275   31.370298
     63300   31.620237
     63325   31.978110
     63350   32.162644
     63375   31.938808
     63400   31.320988
     63425   31.677228
     63450   31.719661
     63475   31.423759
     63500   31.259297
     63525   31.446208
     63550   31.489994
     63575   31.817164
     63600   31.836170
     63625   32.048092
     63650   31.732387
     63675   31.760795
     63700   31.708224
     63725   31.948699
     63750   31.370425
     63775   31.338863
     63800   31.427064
     63825   30.737388
     63850   31.135656
     63875   30.838832
     63900   30.601208
     63925   30.556071
     63950   30.195345
     63975   30.754640
     64000   30.740098
     64025   30.861710
     64050   30.811815
     64075   30.976926
     64100   31.562253
     64125   30.998242
     64150   30.679311
     64175   30.596146
     64200   31.245596
     64225   31.056134
     64250   31.012552
     64275   30.965754
     64300   30.599509
     64325   30.653254
     64350   30.927984
     64375   30.440084
     64400   30.622819
     64425   30.710574
     64450   30.514772
     64475   30.740092
     64500   31.036784
     64525   31.266313
     64550   31.360843
     64575   30.708014
     64600   31.098352
     64625   31.417787
     64650   31.354581
     64675   31.319058
     64700   31.425808
     64725   32.033037
     64750   31.733482
     64775   31.605831
     64800   31.671265
     64825   32.123168
     64850   32.107455
     64875   32.190606
     64900   31.960383
     64925   31.537322
     64950   31.852796
     64975   31.345732
     65000   31.153370
     65025   31.590623
     65050   31.408385
     65075   31.020425
     65100   31.083065
     65125   30.704541
     65150   30.169911
     65175   31.093027
     65200   31.217935
     65225   31.217713
     65250   31.379932
     65275   30.980243
     65300   31.442318
     65325   31.262303
     65350   31.144065
     65375   31.231609
     65400   31.617124
     65425   31.248904
     65450   31.796075
     65475   31.544390
     65500   31.929058
     65525   31.435235
     65550   31.834372
     65575   31.814361
     65600   32.030379
     65625   31.820331
     65650   32.358232
     65675   32.693467
     65700   32.589158
     65725   32.495980
     65750   32.858732
     65775   32.575818
     65800   32.550196
     65825   33.124535
     65850   33.108059
     65875   32.927884
     65900   33.229256
     65925   33.328785
     65950   33.122309
     65975   33.721608
     66000   33.190584
     66025   32.972172
     66050   32.913380
     66075   33.067075
     66100   33.373513
     66125   32.957685
     66150   33.207300
     66175   32.559351
     66200   32.722041
     66225   33.020783
     66250   32.346573
     66275   32.076208
     66300   31.894120
     66325   32.242548
     66350   32.564302
     66375   32.085096
     66400   32.069423
     66425   32.168697
     66450   32.935793
     66475   32.537924
     66500   32.831568
     66525   32.018059
     66550   32.621124
     66575   32.408033
     66600   32.589608
     66625   32.519358
     66650   31.990745
     66675   32.116751
     66700   32.731092
     66725   32.214539
     66750   32.810085
     66775   33.270696
     66800   33.020449
     66825   32.455611
     66850   32.729229
     66875   32.253485
     66900   32.447427
     66925   32.754821
     66950   32.815246
     66975   32.449080
     67000   32.219221
     67025   32.216839
     67050   32.001291
     67075   32.611222
     67100   32.807169
     67125   32.508836
     67150   33.053606
     67175   32.272988
     67200   32.533145
     67225   32.622135
     67250   32.652709
     67275   32.237426
     67300   32.429247
     67325   32.430896
     67350   32.295757
     67375   32.455917
     67400   31.891148
     67425   32.218958
     67450   32.380247
     67475   32.322618
     67500   32.177816
     67525   31.970737
     67550   32.026363
     67575   31.691366
     67600   31.375288
     67625   31.255738
     67650   31.508064
     67675   31.252452
     67700   31.130455
     67725   30.922623
     67750   31.553558
     67775   31.628317
     67800   30.912564
     67825   31.209290
     67850   31.140853
     67875   31.206259
     67900   31.491066
     67925   30.903035
     67950   30.702468
     67975   30.716234
     68000   30.134265
     68025   30.747095
     68050   31.041976
     68075   30.492300
     68100   30.271479
     68125   30.088079
     68150   30.667448
     68175   30.620958
     68200   30.390655
     68225   30.145267
     68250   30.544952
     68275   29.937854
     68300   30.210651
     68325   30.442196
     68350   30.795575
     68375   30.380464
     68400   30.918931
     68425   30.399643
     68450   31.125668
     68475   30.613711
     68500   30.492451
     68525   31.123767
     68550   31.045602
     68575   30.983668
     68600   31.404487
     68625   31.081236
     68650   31.178051
     68675   30.747223
     68700   30.914998
     68725   30.859775
     68750   30.287292
     68775   30.733287
     68800   30.480226
     68825   30.942110
     68850   31.093099
     68875   31.613961
     68900   31.371432
     68925   31.693924
     68950   31.507939
     68975   30.956827
     69000   31.366790
     69025   31.430894
     69050   31.272690
     69075   31.378691
     69100   31.796887
     69125   31.553254
     69150   31.668501
     69175   31.436713
     69200   31.127799
     69225   31.036125
     69250   31.273135
     69275   31.315718
     69300   31.769400
     69325   31.923601
     69350   31.778064
     69375   31.607165
     69400   31.468958
     69425   31.085358
     69450   31.210029
     69475   31.552608
     69500   31.506660
     69525   31.454360
     69550   31.781593
     69575   32.016953
     69600   32.149856
     69625   32.057658
     69650   32.016737
     69675   31.683563
     69700   31.704916
     69725   31.686851
     69750   32.021442
     69775   32.467382
     69800   32.753177
     69825   32.188449
     69850   31.874547
     69875   32.004480
     69900   31.897851
     69925   31.910510
     69950   31.648421
     69975   31.273030
     70000   31.373256
     70025   31.273738
     70050   31.134742
     70075   31.257331
     70100   31.834123
     70125   31.172165
     70150   31.337076
     70175   31.097004
     70200   30.935130
     70225   31.014161
     70250   31.255525
     70275   30.751111
     70300   30.834285
     70325   31.056900
     70350   30.457309
     70375   30.111694
     70400   30.802632
     70425   30.839859
     70450   30.503804
     70475   30.925100
     70500   31.236631
     70525   31.230879
     70550   31.346985
     70575   31.133942
     70600   30.885528
     70625   30.887941
     70650   31.558826
     70675   31.411847
     70700   31.453877
     70725   31.110208
     70750   31.184171
     70775   31.106080
     70800   30.881069
     70825   31.208957
     70850   31.049270
     70875   31.269812
     70900   31.050716
     70925   30.651581
     70950   30.583687
     70975   31.180647
     71000   31.053180
     71025   30.970616
     71050   30.632894
     71075   30.336383
     71100   30.393299
     71125   30.818736
     71150   30.383972
     71175   30.882664
     71200   31.255265
     71225   30.738408
     71250   31.613496
     71275   31.335304
     71300   31.304795
     71325   31.420230
     71350   31.332548
     71375   30.848933
     71400   30.830192
     71425   30.903989
     71450   30.627408
     71475   30.833825
     71500   30.629512
     71525   30.417591
     71550   30.485151
     71575   31.155742
     71600   30.682270
     71625   31.237011
     71650   30.904934
     71675   31.103021
     71700   30.706042
     71725   30.617541
     71750   30.725551
     71775   30.730480
     71800   30.772221
     71825   30.848299
     71850   31.025310
     71875   30.960959
     71900   31.420204
     71925   31.223398
     71950   31.551309
     71975   31.621687
     72000   31.381074
     72025   30.900490
     72050   31.105453
     72075   31.072400
     72100   30.729971
     72125   30.848487
     72150   30.745773
     72175   30.629707
     72200   30.946935
     72225   31.148130
     72250   30.825556
     72275   31.172289
     72300   31.190248
     72325   30.953884
     72350   30.687401
     72375   31.282430
     72400   31.126275
     72425   32.082086
     72450   31.941736
     72475   31.983303
     72500   31.869688
     72525   31.739363
     72550   31.732804
     72575   31.834873
     72600   31.779903
     72625   31.572585
     72650   31.399875
     72675   31.418903
     72700   31.382705
     72725   31.430071
     72750   31.257732
     72775   31.021555
     72800   30.865998
     72825   30.463877
     72850   31.056139
     72875   31.375871
     72900   31.220263
     72925   31.242050
     72950   31.243328
     72975   31.542125
     73000   31.485839
     73025   31.689799
     73050   31.799223
     73075   31.903972
     73100   32.187272
     73125   32.287136
     73150   32.075689
     73175   33.190172
     73200   32.011751
